,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
2155,Narayanthan Tusal,Kathmandu,11000000,4,1,0.00,1,South,3.50
2156,Tushal Chowk,Kathmandu,19000000,8,2,0.00,1,East,4.00
2157,Bishnumati-Pool,Kathmandu,25000000,5,5,0.00,2,North,5.00
2158,Chowk,Kathmandu,20000000,12,4,0.00,2,South East,5.00
2159,thamel,Kathmandu,15000000,0,0,0.00,0,East,4.00
2160,Budhanilkantha,Kathmandu,29000000,7,5,0.00,2,North,5.00
2161,chapali,Kathmandu,2200000,0,0,0.00,0,South West,4.75
2162,Near Budanilkantha School,Kathmandu,1850000,0,0,0.00,0,East,6.00
2163,Binayak Height,Lalitpur,3500000,0,0,0.00,0,South,5.00
2164,New Baneshwor,Kathmandu,6000000,0,0,0.00,0,East,8.25
2165,Gokul Awas,Lalitpur,29000000,3,2,0.00,1,South,4.25
2166,Binayak height,Lalitpur,3800000,0,0,0.00,0,South East,5.00
2167,Bhaisepati Awas,Lalitpur,5500000,0,0,0.00,0,East,5.00
2168,Bhaisepati Awas,Lalitpur,5500000,0,0,0.00,0,East,6.00
2169,Bhaisepati Awas,Lalitpur,5500000,0,0,0.00,0,West,4.00
2170,Bhaisepati,Lalitpur,5500000,0,0,0.00,0,West,8.00
2171,Dhapakhel,Lalitpur,25000000,6,3,0.00,2,North,0.00
2172,Taukhel,Lalitpur,40000000,6,4,0.00,3,East,12.00
2173,panchkhal,Kavre,350000,0,0,0.00,0,North,16.00
2174,Koteshwor,Kathmandu,4500000,0,0,0.00,0,North,6.50
2175,Gharipatan,Pokhara,17000000,0,0,0.00,0,East,67.17
2176,Kavresthali,Kathmandu,700000,0,0,0.00,0,East,5.38
2177,Gharipatan,Pokhara,30000000,5,4,0.00,3,East,6.00
2178,Shrijana Chowk,Pokhara,80000000,5,6,0.00,3,East,12.00
2179,Chaute,Pokhara,900000,0,0,0.00,0,East,220.96
2180,Kajipokhari,Pokhara,600000,0,0,0.00,0,East,70.71
2181,Raambazar Pokhara,Pokhara,25000000,0,0,0.00,0,East,14.00
