,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
221,Nearby Buddha party palace,Lalitpur,13000000,4,2,1.50,1,North East,3.00
222,satungal,Kathmandu,42500000,28,0,5.00,0,East,5.31
223,Shankharapur,Kathmandu,1300000,0,0,0.00,0,North,14.00
224,Chandragiri nagarpalika -9,Kirtipur,1800000,0,0,0.00,0,East,4.75
225,pulchowk,Lalitpur,300000,8,5,0.00,7,East,12.00
226,kalanki,Kathmandu,10500000,0,0,0.00,0,East,7.25
227,Hattisar,Kathmandu,50000000,3,3,3.00,2,South,80.00
228,Naranghat,Chitwan,10500000,4,2,3.00,1,South,4.00
229,tokha road,Kathmandu,30000000,6,5,3.00,2,North,5.00
230,Bhaisepati,Lalitpur,31500000,4,4,3.00,1,South,4.30
231,Harisiddhi,Lalitpur,18000000,3,3,3.00,1,South East,3.19
232,Rapti Nagar,Chitwan,50000000,0,0,0.00,0,East,960.00
233,Budhanilkantha,Kathmandu,57500000,4,5,3.00,1,South West,8.00
234,Lampokhari,Kathmandu,30000000,0,3,3.00,1,East,2.00
235,Talchhikhel,Lalitpur,100000,3,3,3.00,3,East,11.00
236,Chabahil Beside Medicare Hospital,Kathmandu,15500000,0,0,0.00,0,East,4.00
237,Baluwatar Beside Goma Petrol Pump,Kathmandu,7500000,0,0,0.00,0,East,9.50
238,Ganeshthan,Kathmandu,60000000,0,0,2.00,3,East,9.50
239,Nearby Bauthali Chwok.,Kathmandu,1200000,0,0,0.00,0,North East,4.75
240,Nearby Suncity Apartment,Kathmandu,2700000,0,0,0.00,0,North East,5.00
241,Nearby Valley Top Driving Center,Kathmandu,35000000,7,3,2.50,2,West,3.62
242,Maitrinagar,Kathmandu,3600000,0,0,0.00,0,East,9.00
243,Chabahil,Kathmandu,25000000,6,4,4.00,2,East,2.50
244,Gothatar,Kathmandu,15500000,0,0,2.00,0,North,3.50
245,13 Anna Land For Sale At Chabahil Main Road,Kathmandu,9500000,0,0,0.00,0,East,13.00
246,Putalisadak Behind Star Mall,Kathmandu,75000000,0,0,5.00,0,East,9.00
247,Chabahil,Kathmandu,3500000,0,0,0.00,0,East,13.00
248,West Of Nardevi Temple At Nardevi,Kathmandu,7500000,0,0,0.00,0,East,40.00
249,Chabahil Beside Pashupati Campus,Kathmandu,75000000,0,0,3.00,0,East,10.00
250,Sifal,Kathmandu,4500000,0,0,0.00,0,East,8.00
251,Budhanilkantha,Kathmandu,3700000,0,0,0.00,0,East,9.00
252,Ratopul,Kathmandu,39500000,0,0,4.00,3,East,6.00
253,74,Pokhara,70000,0,2,0.00,0,East,4.67
254,Main road,Kathmandu,18000,1,1,1.00,4,East,1.10
255,Basbari Behind Shambhala Hotel,Kathmandu,5000000,0,0,0.00,0,East,10.00
256,Golfutar,Kathmandu,37000000,5,6,3.00,2,South,4.00
257,74,Pokhara,40000,0,0,3.00,0,East,2.34
258,dhapakhel height,Lalitpur,25600000,0,0,4.00,1,East,4.00
259,jawalakhel,Lalitpur,78000,4,4,0.00,1,East,5.00
260,Sundi- Khaireni Nagarpalika,Chitwan,1600000,0,0,0.00,0,South East,280.00
261,Road Show Housing,Kathmandu,36500000,5,4,2.00,2,East,6.25
262,Golfutar Height,Kathmandu,102500000,5,0,2.00,0,East,19.00
263,Pratap Marg,Biratnagar,899999,0,0,0.00,0,East,5.97
264,Sano Bharyang,Kathmandu,22500000,5,3,3.00,1,East,3.25
265,Sano Bharyang Near Ring Road,Kathmandu,23500000,5,3,3.00,2,East,3.00
266,Pasikot,Kathmandu,22500000,4,3,3.00,1,East,3.19
267,Rudreshwor Budhanilkanta 200 Mtr From Highway,Kathmandu,32500000,5,4,3.00,1,East,4.00
268,Chapali,Kathmandu,42500000,5,0,3.00,4,East,12.00
269,madevsthan,Kathmandu,11000000,10,3,2.00,0,East,4.00
270,Sukedhara Near Chauki,Kathmandu,42500000,5,3,2.00,1,East,5.00
271,Ganesh Chowk,Kathmandu,35000000,5,4,2.00,2,East,6.00
272,Tokha,Kathmandu,2200000,0,0,0.00,0,East,5.00
273,Chapali,Kathmandu,2400000,0,0,0.00,0,East,5.00
274,Budhanilkantha,Kathmandu,2400000,0,0,0.00,0,South East,5.00
275,chabahil,Kathmandu,6000000,0,0,0.00,0,East,0.00
276,Golfutar,Kathmandu,2700000,0,0,0.00,0,West,13.00
277,Tokha,Kathmandu,2300000,0,0,0.00,0,East,6.00
278,Golfutar,Kathmandu,37000000,5,5,3.00,1,South,4.00
279,Sukedhara,Kathmandu,45000000,6,6,3.00,3,East,6.00
280,Shreepur-11 Birgunj Nepal,Parsa,550000,0,0,0.00,0,South,0.89
281,Enar Chowk,Lalitpur,39000000,2,1,1.00,2,East,11.00
282,Kathmandu,Kathmandu,17000000,5,3,3.00,1,East,3.75
283,maharajgunj,Kathmandu,100000,5,4,0.00,2,East,11.00
284,Bhaisepati,Lalitpur,75000,3,3,0.00,1,East,5.50
285,Nagarjun School,Kathmandu,16500000,6,3,2.50,1,South East,3.00
286,Ramkot,Kathmandu,20500000,4,4,2.50,1,East,3.75
287,Bojopokhari,Lalitpur,25000000,7,6,3.00,3,North East,4.75
288,kausaltar,Bhaktapur,12500000,0,0,2.00,0,East,3.00
289,Imadol,Lalitpur,21000000,4,5,1.00,1,South West,4.00
290,koteshwor,Kathmandu,60000,0,4,3.00,1,East,2.63
291,Duwakot,Bhaktapur,3500000,0,0,0.00,0,East,12.50
292,Siphadol,Bhaktapur,600000,0,0,0.00,0,East,260.00
293,Champi,Lalitpur,420000,0,0,0.00,0,East,842.88
294,Taukhel,Lalitpur,2000000,0,0,0.00,0,East,48.00
295,House rent in Bagdol,Lalitpur,50000,2,1,0.00,1,South West,22.00
296,gairidhara,Kathmandu,175000,0,0,2.00,6,South,16.00
297,Mhepi,Kathmandu,160000,6,5,3.00,8,South,16.00
298,Budhanilkantha Mandir,Kathmandu,2500000,0,0,0.00,0,West,4.00
299,Mayalbari,Kathmandu,6000000,0,0,0.00,0,East,33.50
300,akase dhara,Kathmandu,18000000,6,3,3.00,2,South,0.00
301,Sainbu,Lalitpur,35200000,4,4,0.00,1,East,5.50
302,Kimdol,Kathmandu,35000,3,2,3.00,1,East,10.00
303,Sainbu,Lalitpur,37100000,4,4,0.00,1,West,6.00
304,Gairidhara,Kathmandu,55000000,4,5,3.00,4,East,5.00
305,Sainbu,Lalitpur,34500000,4,4,0.00,1,West,5.25
306,Gokarna,Kathmandu,1650000,0,0,0.00,0,West,22.00
307,Budhanilkantha,Kathmandu,45000000,5,6,3.00,3,North East,6.00
308,Sanobharyang,Kathmandu,22500000,6,5,3.00,1,East,3.10
309,27.6564024,Lalitpur,30000,3,2,4.00,1,North East,8.00
310,pragati path hetauda-5,Makwanpur,700000,4,2,1.00,1,North,4.37
311,jhamsikhel(near British school),Lalitpur,35000,2,2,0.00,2,East,0.02
312,jhamsikhel(near British school),Lalitpur,35000,2,2,0.00,2,East,0.02
313,lele,Lalitpur,700000,0,0,0.00,0,East,4.38
314,Swayambhu,Kathmandu,23500000,6,5,3.00,1,East,3.00
315,Golfutar,Kathmandu,102500000,6,6,3.00,4,East,19.00
316,Sainbu,Lalitpur,28200000,4,4,2.00,1,North East,4.25
317,Newroad,Kathmandu,40000,0,1,7.00,0,West,1.81
318,Birendrachowk,Kathmandu,13000000,2,1,1.00,2,East,50.00
319,Budhanilkantha,Kathmandu,32500000,5,5,3.00,1,East,4.00
320,Nearby APF Hospital,Kathmandu,26000000,11,9,3.00,1,North,5.00
321,Chapali,Kathmandu,24000000,7,8,4.00,1,South East,5.00
322,Nearby Sumeru Hospital,Lalitpur,17700000,3,4,2.50,1,West,2.50
323,Lolang Height,Kathmandu,2200000,1,1,1.00,2,East,12.50
324,Man,Kathmandu,16800000,5,5,3.00,1,North East,3.00
325,Budhanilkantha,Kathmandu,34000000,6,6,3.00,2,North East,5.50
326,Budhanilkantha,Kathmandu,22500000,5,5,3.00,1,South East,3.00
327,Bhudha colony,Kathmandu,200000,5,4,3.00,2,East,14.50
328,Main road,Kathmandu,25000,3,1,1.00,4,East,1.61
329,Dhunge Dhara,Kathmandu,17000,2,1,4.00,0,South,21.00
330,Chapali,Kathmandu,42500000,5,6,3.00,4,South East,12.00
331,Maharajgunj,Kathmandu,790000,6,7,3.00,10,East,80.00
332,Chandol,Kathmandu,41000000,7,3,2.50,1,North,5.00
333,Chunikhel,Kathmandu,1300000,0,0,0.00,0,East,7.20
334,Matatirtha near bus stop,Kathmandu,15000000,3,3,0.00,2,West,8.20
335,Bhaisepati,Lalitpur,37500000,8,6,4.00,1,North West,7.25
336,Bishnu Devi Village Colony,Kathmandu,16000000,5,3,2.50,1,East,3.00
337,jawalakhel,Lalitpur,55000,2,1,0.00,0,East,5.00
338,manbhawan,Lalitpur,75000,4,3,0.00,2,East,32.00
339,naxal,Kathmandu,500000,22,4,0.00,3,East,10.00
340,Sunwood Colony Hetauda,Makwanpur,500000,0,0,0.00,0,South,1.99
341,Kapan,Kathmandu,15000000,4,4,3.00,2,West,3.20
342,Imadol,Lalitpur,21500000,6,4,2.50,3,West,4.00
343,Madan path,Butwal,450000,0,0,0.00,0,North East,42.43
344,Beshigaun,Kathmandu,23500000,0,0,3.00,0,North East,3.00
345,opposite of Nepal Rastra Bank,Kathmandu,60000000,5,5,2.50,1,South,6.00
346,Dibya party palace,Kathmandu,4200000,0,0,0.00,1,North,6.75
347,Nearby Dibya Complex,Kathmandu,4200000,0,0,0.00,1,South,9.00
348,nearby Bagmati Road,Kathmandu,4500000,0,0,0.00,0,South,5.44
349,Nearby Dibya Complex,Kathmandu,4200000,0,0,0.00,0,South,9.00
350,Bagmati road,Kathmandu,6000000,0,0,0.00,1,North,3.56
351,Nearby Hilary School.,Kathmandu,8000000,0,0,0.00,0,East,16.00
352,Kumaripati,Lalitpur,2300000,1,0,0.00,0,South,1.90
353,Nearby Guheshwori Planning,Kathmandu,4200000,0,0,0.00,0,West,26.00
354,Tarahara bhuwanipur,Itahari,130000,0,0,0.00,0,East,2.49
355,townplanning,Kathmandu,750000,0,0,0.00,0,East,4.00
356,bhaisepati,Lalitpur,30000000,4,4,0.00,1,East,3.00
357,Pasikot,Kathmandu,81000000,6,6,3.00,6,East,21.00
358,Pasikot,Kathmandu,55000000,5,5,2.00,6,North,12.00
359,Thankot,Kathmandu,13000000,6,2,3.00,1,West,3.00
360,KUPONDOLE HEIGHTS ROAD,Lalitpur,273258,4,0,4.00,1,East,23.00
361,Bafal,Kathmandu,30000000,4,3,0.00,1,East,3.00
362,Red Cross Marg,Kathmandu,225000,0,3,2.00,2,West,7.00
363,Radhe radhe,Bhaktapur,375000,0,0,0.00,0,East,62.40
364,Sitapaila,Kathmandu,17500000,5,4,3.00,1,North,3.25
365,checkpost,Kathmandu,1450000,0,0,0.00,0,South East,4.50
366,Nearby Bhatbhateni,Kathmandu,65000000,6,5,2.00,1,East,12.00
367,matatirtha,Kathmandu,9500000,3,1,0.00,1,South,3.00
368,Nearby Norvic Hospital,Kathmandu,9000000,6,3,3.00,1,East,6.38
369,Hattigauda,Kathmandu,2900000,0,0,0.00,0,East,14.00
370,104,Kathmandu,80000000,16,10,4.00,2,South,9.00
371,imadole,Lalitpur,20000000,3,3,0.00,1,East,3.00
372,Dharan 20,Dharan,1600000,0,0,0.00,0,East,140.00
373,Bageshwori,Bhaktapur,1500000,0,0,0.00,0,South,24.00
374,Pokhara 8,Pokhara,11000,0,0,3.00,0,East,0.00
375,Balkumari-8,Kathmandu,4100000,0,0,0.00,0,South East,16.00
376,Gandakbasti,Kathmandu,31000000,7,3,3.00,1,South,4.00
377,naya baneshwor,Kathmandu,495000,0,0,0.00,0,East,3.21
378,Bu. Na. Pa. 11,Butwal,900000,0,2,2.00,4,East,3.18
379,budhanilkantha,Kathmandu,200000,5,4,0.00,2,South,12.00
380,Raniban,Kathmandu,15000,2,1,0.00,1,South East,3.51
381,buddhanagar,Kathmandu,20000,0,1,1.00,1,South,20.50
382,Imadol,Lalitpur,17500000,3,3,0.00,1,North West,0.75
383,Imadol,Lalitpur,19500000,5,3,3.00,1,North East,3.00
384,Near Nagrik Hospital Gatthaghar,Bhaktapur,60000,5,0,0.00,6,North,1.46
385,Gatthaghar Nagrik Hospital,Bhaktapur,11000,0,0,0.00,5,North,0.58
386,chobhar,Kathmandu,60000,3,4,2.00,2,East,7.00
387,Budhanilkantha,Kathmandu,3500000,0,0,0.00,0,East,64.00
388,Dhapasi,Kathmandu,65000000,5,4,2.00,1,East,8.00
389,6 Bhk 20 Anna Bungalow For Sale At Budhanilkantha,Kathmandu,150000000,6,6,2.00,4,East,20.00
390,Budhanilkantha In Great Residential Community,Kathmandu,3500000,0,0,0.00,0,East,10.00
391,Budhanilkantha,Kathmandu,250000000,5,7,2.00,20,East,96.00
392,Budhanilkantha,Kathmandu,3500000,0,0,0.00,0,South,8.00
393,Pasikot,Kathmandu,37000000,6,6,3.00,2,East,6.00
394,Sundarbasti,Kathmandu,19000000,4,3,2.00,1,East,3.00
395,Opposite Rastra Bank At Baluwatar,Kathmandu,105000000,6,5,3.00,3,East,12.00
396,Land For Sale Beside Sher Bahadur Deuba House,Kathmandu,4500000,0,0,0.00,0,East,10.00
397,Deuba Chowk,Kathmandu,3400000,0,0,0.00,0,East,6.00
398,bakhundole sanepa,Lalitpur,280000,5,5,0.00,3,North,11.00
399,Dhapasi,Kathmandu,65000000,5,6,3.00,3,South East,8.00
400,Smritinagar,Lalitpur,25000,2,2,1.00,1,East,2.92
401,Bhandhari marga.,Lalitpur,19500000,5,3,2.50,1,West,3.25
402,thamel,Kathmandu,1800000,43,20,0.00,0,East,32.00
403,Nagarjun,Kathmandu,24000000,8,5,3.00,1,West,4.00
404,lakeside,Pokhara,800000,31,31,0.00,6,East,2.00
405,Bharatpur11,Chitwan,13000,2,2,3.00,1,West,1.99
406,rudhreswor,Kathmandu,200000,4,4,0.00,2,East,5.00
407,Sundarbasti Bhangal,Kathmandu,95000,4,2,2.00,1,East,6.50
408,thimi,Bhaktapur,600000,0,0,0.00,0,East,80.00
409,Bharatpur 19,Chitwan,2000000,0,0,0.00,0,East,350.00
410,Rose Village Balkot,Bhaktapur,35000000,3,4,0.00,3,East,4.75
411,naya bazar,Kathmandu,250000,17,19,0.00,4,East,6.00
412,khumaltar,Lalitpur,60000,4,3,0.00,2,East,3.00
413,changathali,Lalitpur,20000000,5,2,4.00,1,East,0.00
414,Ochu Height,Lalitpur,23500000,6,4,3.00,1,West,4.00
415,104 Continental Homes,Kathmandu,24000000,4,4,2.00,1,South,3.94
416,Habeli Marg,Pokhara,700000,0,0,0.00,0,West,77.78
417,Status Enclave Apartments,Lalitpur,80000,4,3,0.00,1,East,5.36
418,Chandagiri,Kathmandu,16000,2,1,3.00,0,South,6.00
419,Mahalaxmi,Lalitpur,40000000,4,4,3.00,2,South,9.38
420,NB Colony,Lalitpur,18000,1,1,0.00,1,South West,17.00
421,Budhanilkantha Municipality-11,Kathmandu,3000000,0,0,0.00,0,South,12.02
422,karyabinayak party place,Lalitpur,25000,2,2,0.00,1,East,14.00
423,Rose Village,Bhaktapur,39999999,4,3,3.00,2,South,5.12
424,Gokarna,Kathmandu,2000000,0,0,0.00,0,West,10.00
425,vinayak colony,Lalitpur,60000,2,2,0.00,1,East,5.00
426,sitapaila,Kathmandu,65000,3,3,0.00,2,East,6.00
427,New Baneshwor,Kathmandu,43500000,7,3,3.00,1,West,7.75
428,dhobighat,Lalitpur,10000,1,1,0.00,0,East,3.00
429,sanepa,Lalitpur,25000,4,2,0.00,1,East,3.00
430,dhobighat,Lalitpur,20000,1,1,0.00,0,East,3.00
431,bhaisepati,Lalitpur,100000,4,4,0.00,1,East,4.00
432,bakhundol,Lalitpur,270000,5,4,2.00,12,South,32.00
433,krishnamandir,Jhapa,430000,0,0,0.00,0,South,14.38
434,DHARAN PATNALI,Dharan,2000000,0,0,0.00,0,East,3.58
435,sirutar,Bhaktapur,1100000,0,0,0.00,0,East,112.00
436,Budhanilkantha,Kathmandu,3500000,0,0,0.00,0,North East,10.00
437,Kanti Marg,Kathmandu,20000,2,1,3.00,1,West,6.00
438,Sitapakha,Lalitpur,2700000,0,0,0.00,0,South East,8.00
439,bhaisepati,Lalitpur,150000,4,4,0.00,1,East,4.50
440,naya baneshwor,Kathmandu,450,0,0,0.00,0,East,6.43
441,sunakothi,Lalitpur,60000,2,2,0.00,1,East,5.00
442,Basundhara Chowk,Kathmandu,22500000,4,3,2.00,1,East,3.25
443,Golfutar Chowk,Kathmandu,45000000,0,4,3.00,2,East,6.00
444,Samakhusi,Kathmandu,85000000,5,6,3.00,4,East,13.00
445,Budhanilkantha,Kathmandu,160000000,6,6,3.00,5,East,21.00
446,Baluwatar,Kathmandu,7500000,0,0,0.00,0,East,32.00
447,Samakhusi,Kathmandu,61000000,12,8,4.00,4,East,11.00
448,Golfutar,Kathmandu,45000000,6,6,3.00,2,East,6.00
449,Chabahil,Kathmandu,49500000,5,5,3.00,2,East,4.50
450,Baniyatar,Kathmandu,24000000,6,6,3.00,1,North East,3.50
451,Basundhara,Kathmandu,45000000,6,6,3.00,4,South West,8.00
452,Basundhara,Kathmandu,60000000,7,7,3.00,4,South,10.00
453,Basundhara,Kathmandu,22500000,5,5,3.00,1,East,2.50
454,Dhapasi Height,Kathmandu,69000000,5,5,3.00,0,South,12.00
455,Sitapaila,Kathmandu,68000000,0,0,0.00,0,East,8.00
456,Budhanilkantha,Kathmandu,3700000,0,0,0.00,0,East,18.00
457,Budhanilkantha,Kathmandu,62000000,5,6,3.00,4,South West,17.00
458,Budhanilkantha,Kathmandu,3700000,0,0,0.00,0,East,18.00
459,Dhapasi,Kathmandu,69000000,7,7,3.00,4,South East,12.00
460,Golfutar,Kathmandu,45000000,6,7,3.00,2,East,6.00
461,Naxal,Kathmandu,65000000,6,5,2.00,0,East,12.00
462,Akashedhara Height,Kathmandu,42000000,8,7,4.00,4,South East,6.00
463,Boje Pokhari,Lalitpur,13000000,2,1,1.35,1,North East,3.50
464,Boje Pokhari,Lalitpur,12700000,2,1,1.50,1,North,3.19
465,Nearby Green hill city,Lalitpur,11000000,2,1,1.50,1,West,2.50
466,haakim chowk,Chitwan,3050000,0,0,0.00,0,South,5.17
467,nearby Pawan prakriti school.,Lalitpur,12000000,2,1,1.50,1,West,3.00
468,sunakothi,Lalitpur,65000,4,3,0.00,1,East,6.00
469,Nearby Panityanki,Lalitpur,12500000,2,1,1.50,1,East,3.81
470,Akasedhara,Kathmandu,19000000,8,4,3.00,1,North,3.50
471,Nearby,Lalitpur,11500000,2,1,1.50,1,South,2.88
472,Bharatpur-15,Chitwan,400000,0,0,0.00,0,South,20.00
473,Bharatpur-4,Chitwan,80000,6,3,3.00,10,South,7.89
474,Kirtipur,Kirtipur,16000,2,1,3.00,1,North East,4.25
475,Downtown apartment,Lalitpur,60000,3,2,0.00,1,East,3.45
476,nearby Pawan prakriti school.,Lalitpur,15000000,2,1,1.50,1,North East,4.12
477,Panityanki,Lalitpur,11000000,2,1,1.50,1,East,3.00
478,Sudal,Bhaktapur,1500000,0,0,0.00,0,North,6.00
479,karyabinayak colony,Lalitpur,50000,4,4,0.00,1,East,4.00
480,Manahari,Makwanpur,20000000,4,4,2.00,4,East,4.00
481,kupondole,Lalitpur,400000,0,5,5.00,3,North,9.00
482,Baluwatar,Kathmandu,7500000,0,0,0.00,0,East,32.00
483,Golfutar,Kathmandu,4500000,0,0,0.00,0,East,4.00
484,Golfutar,Kathmandu,4600000,0,0,0.00,0,East,69.00
485,Bhangal,Kathmandu,23000000,5,5,3.00,1,West,4.00
486,Baluwatar,Kathmandu,60000000,7,4,4.00,4,East,6.25
487,Baluwatar,Kathmandu,60000000,5,6,4.00,4,East,5.50
488,Basundhara,Kathmandu,25500000,7,4,3.00,1,East,4.00
489,Samakhusi Chowk,Kathmandu,55000000,5,4,2.00,2,South East,7.00
490,Kantipur Colony,Lalitpur,22200000,4,5,0.00,1,South West,3.25
491,Kapan,Kathmandu,24000000,5,3,2.00,1,East,3.75
492,Samakhusi,Kathmandu,55000000,5,6,3.00,2,South,7.00
493,Basundhara,Kathmandu,25500000,7,6,4.00,1,South West,3.75
494,Dhapasi,Kathmandu,2700000,0,0,0.00,0,East,5.00
495,Mandikatar Faat,Kathmandu,27500000,6,3,2.00,1,East,4.00
496,Chapali,Kathmandu,2650000,0,0,0.00,0,East,3.00
497,Rudreshwor Chowk,Kathmandu,63000000,5,4,2.00,2,East,10.00
498,20 Meters From Main Highway,Kathmandu,3500000,0,0,0.00,0,West,10.00
499,Budhanilkantha Near Park Village.,Kathmandu,60000000,5,5,2.00,0,East,17.00
500,Beside Deuba House,Kathmandu,34500000,6,4,3.00,2,East,6.00
501,Baluwatar,Kathmandu,39500000,3,3,2.00,2,East,5.50
502,Budhanilkantha,Kathmandu,38000000,0,3,2.00,3,East,9.00
503,Setipakha,Lalitpur,12000000,4,1,1.50,0,North East,5.25
504,dathulan road house,Lalitpur,8700000,0,2,3.00,0,South,1.00
505,Tikathali,Lalitpur,12500000,2,1,1.00,1,East,3.00
506,Tikathali,Lalitpur,130000,2,1,1.00,1,East,3.00
507,Samakhusi,Kathmandu,60000,0,0,3.00,0,South East,5.00
508,imadol,Lalitpur,23500000,4,4,3.00,1,West,3.75
509,Dhapasi Height,Kathmandu,60000,4,3,3.00,1,South East,10.00
510,Krishna Mandir Area,Lalitpur,27000000,6,4,3.00,0,East,3.50
511,Suncity,Kathmandu,15200000,4,2,0.00,1,South,3.92
512,Chapali,Kathmandu,2650000,0,0,0.00,0,East,3.30
513,Sano Bharyang,Kathmandu,235000000,5,5,3.00,1,East,3.00
514,Mandikatar,Kathmandu,27600000,7,6,3.00,1,East,4.00
515,Narayanthan,Kathmandu,70000000,5,4,0.00,10,East,22.00
516,Chabahil Inside Ring Road,Kathmandu,50000000,4,4,2.00,2,East,5.25
517,Dhungedhara,Kathmandu,22500000,4,3,2.00,1,East,3.00
518,Sano Bharayang,Kathmandu,23500000,0,3,2.00,1,East,3.00
519,Dhungedhara,Kathmandu,240,5,5,3.00,1,East,3.00
520,Budhanilkantha,Kathmandu,70000000,6,7,3.00,10,East,22.00
521,Chabahil,Kathmandu,500000000,5,5,3.00,2,East,4.50
522,Budhanilkantha,Kathmandu,160000000,10,10,4.00,5,East,21.00
523,Baluwatar,Kathmandu,42500000,6,6,3.00,0,South East,6.00
524,Budhanilkantha,Kathmandu,18000000,5,5,3.00,1,North,3.10
525,Bhangal,Kathmandu,27500000,6,6,3.00,2,East,4.00
526,Prayag Marga-34,Kathmandu,33000000,5,3,2.50,1,West,5.00
527,Budhanilkantha,Kathmandu,145000000,5,6,3.00,4,East,20.00
528,Tutepani,Lalitpur,3700000,5,4,3.00,9,South,16.00
529,Nayabasti,Lalitpur,21000000,4,5,2.50,1,South West,4.00
530,Fulbari Marga,Lalitpur,28500000,5,4,3.00,1,South East,4.81
531,solti dobato,Kathmandu,17500000,4,2,0.00,0,North East,5.00
532,solti dobato,Kathmandu,15500000,4,2,2.00,1,North East,4.00
533,ramkot,Kathmandu,15500000,4,2,0.00,1,North East,4.00
534,ganesh chowk,Kathmandu,3200000,0,0,0.00,0,East,10.00
535,Goma Petrol Pump,Kathmandu,250000,18,5,2.00,0,North East,32.00
536,Basbari,Kathmandu,3000000,0,0,0.00,0,North,3.00
537,hattigauda,Kathmandu,2300000,0,0,0.00,0,East,5.50
538,Kumari building,Kathmandu,2000000,0,0,0.00,0,East,4.09
539,hari guru marga,Bhaktapur,400000,0,0,0.00,0,North West,176.00
540,Hetauda,Makwanpur,1100000,0,0,0.00,0,South,1.39
541,Chapali,Kathmandu,42000000,7,6,3.00,3,East,8.50
542,538 Paknajol Marg,Kathmandu,300000,18,4,5.00,0,West,4.00
543,Tokha,Kathmandu,2500000,0,0,0.00,0,North East,16.00
544,pepsicola,Kathmandu,4000000,0,0,0.00,0,East,5.00
545,CIVIL HOMES DHAPHAKEL,Lalitpur,30000,2,1,0.00,1,East,2.31
546,imadol -4 lalitpur,Lalitpur,19000000,4,3,3.00,2,West,3.25
547,Gwarko Colony,Lalitpur,21000000,3,2,2.50,1,South,3.06
548,Westar Apartment,Lalitpur,50000,3,2,9.00,0,East,3.68
549,Gairidhara,Kathmandu,200000,0,0,0.00,0,South East,10.00
550,Nagpokhari,Kathmandu,110,0,0,3.00,0,East,10.00
551,budanilkantha,Kathmandu,100000,3,4,2.00,1,North,4.00
552,Bhimsen Marg,Kathmandu,160,0,0,0.00,0,North East,20.00
553,Siphal,Kathmandu,350000,0,0,5.00,0,South,8.00
554,Chauni Road,Kathmandu,3000000,0,0,0.00,0,North East,4.25
555,sinamangal,Kathmandu,200000,4,3,3.00,2,South East,8.00
556,Tinchuli Chowk,Kathmandu,3000000,0,0,0.00,0,South East,5.20
557,Arunima Education Foundation,Kathmandu,150000,0,0,5.00,2,South West,3.00
558,Kamalpokhari,Kathmandu,1200000,0,0,0.00,0,North East,64.00
559,Sankha Park,Kathmandu,250000,0,0,0.00,0,South East,44.96
560,Thamel,Kathmandu,120000,12,0,3.00,2,North West,3.00
561,Teaching Hospital,Kathmandu,130000,12,0,3.00,3,North East,6.00
562,Nil sarswotisthan,Kathmandu,150000,8,3,3.00,2,North East,4.00
563,Ganesh Chowk,Kathmandu,2500000,0,0,0.00,0,North East,4.00
564,Basbari,Kathmandu,150000,4,4,3.00,1,South,6.00
565,Basundhara,Kathmandu,85000000,7,8,3.00,4,East,14.00
566,green village,Kathmandu,13000000,0,0,0.00,0,South East,10.00
567,dahachowk,Kathmandu,1050000,0,0,0.00,0,South,4.00
568,Gongabu,Kathmandu,80000,13,0,4.00,0,East,4.00
569,medical chowk,Kathmandu,370000,17,17,4.00,0,North East,6.00
570,gumti chowk,Kathmandu,2600000,0,0,0.00,0,East,4.00
571,uttar dokha,Kathmandu,150000,4,4,3.00,2,North East,7.00
572,Kapan height,Kathmandu,17000000,8,3,10.00,2,North,3.50
573,Buddhachwok,Kathmandu,18500000,3,3,2.50,1,East,3.00
574,deuba chowk,Kathmandu,3200000,0,0,0.00,0,East,7.00
575,Kapan,Kathmandu,17000000,4,5,3.00,1,West,3.00
576,BharatPokhari-33,Pokhara,2500000,0,0,0.00,0,North,192.00
577,Mandikatar,Kathmandu,32500000,8,6,3.00,1,South East,4.00
578,Budhanilkantha,Kathmandu,29800000,5,5,3.00,2,East,4.00
579,Nirmal Pokhari-21,Pokhara,2500000,0,0,0.00,0,South,480.00
580,Hattigauda,Kathmandu,33500000,5,5,3.00,1,North West,5.50
581,Sundar Basti Bhangal,Kathmandu,29900000,7,6,3.00,2,South West,5.00
582,Basundhara,Kathmandu,49000000,6,6,3.00,2,South,5.30
583,buddhanagar,Kathmandu,29900000,5,3,2.50,1,South,3.00
584,Tokha,Kathmandu,21000000,6,6,3.00,1,East,3.00
585,Golfutar,Kathmandu,100000000,6,6,3.00,5,East,19.00
586,Hattigauda,Kathmandu,45000000,5,5,3.00,1,North,6.00
587,Hattigauda,Kathmandu,3500000,0,0,0.00,0,East,19.00
588,Tokha,Kathmandu,33500000,6,6,3.00,1,South East,4.00
589,Hattigauda,Kathmandu,28500000,5,5,3.00,1,North,4.00
590,Basundhara,Kathmandu,50000000,5,5,3.00,3,East,11.00
591,Naya Bazar,Kathmandu,35000000,5,5,3.00,2,East,5.00
592,Budhanilkantha,Kathmandu,49000000,5,5,3.00,2,West,8.50
593,Thulo Bharyang,Kathmandu,39000000,5,5,3.00,3,East,7.00
594,Dhumbarahi,Kathmandu,6500000,0,0,0.00,0,East,32.00
595,Tokha,Kathmandu,29000000,6,6,3.00,1,East,4.00
596,Budhanilkantha,Kathmandu,44500000,5,5,3.00,1,South,5.00
